YEAR_WEEK,PERIOD,DATE,RED_BULL_sales_litres,RED_BULL_DWD,RED_BULL_price,RED_BULL_pct_vol_promo,RED_BULL_vol_deal,COMPETITOR_sales_litres,COMPETITOR_DWD,COMPETITOR_price,COMPETITOR_pct_vol_promo,COMPETITOR_vol_deal,ConsAct_Total,CANS_SAMPLED_PRODUCTHIERARCHY,CANS_SEEDED_PRODUCTHIERARCHY,paid_grp_tv,paid_imp_disp,paid_imp_sem,paid_imp_social,paid_imp_webtv,paid_spend_cinema,paid_spend_ooh,paid_imp_social_camp1,paid_imp_social_camp2,paid_imp_social_camp3,paid_imp_social_camp4,paid_imp_social_camp5,paid_imp_webtv_camp1,paid_imp_webtv_camp2,paid_imp_webtv_camp3,Earned_sports_athletes_contacts,Earned_motorsports_athletes_contacts,managed_engvdv_culture,managed_engvdv_motorsports,managed_engvdv_sports,owned_sessions
2021-W47,47,1970-01-01 00:00:00.000043792,298948.901988283,69.2071194542321,0.9540164889312858,31.19503579498547,13506.114666666666,517578.2762056383,63.9016024305522,0.51225639335185,37.786424131258066,78967.58666666667,1059.6034621794652,56.695055548966174,21.16755621725341,0.0,1362836.8050361872,27374.14101080529,268939.671741,715723.791282,0.0,0.0,208243.547139,0.0,60696.124602,0.0,0.0,0.0,715723.791282,0.0,0.0,6914379.28086628,1.6117144407722241,1.292797728392125,1.5707064053334663,0.003718935525239375
2021-W48,48,1970-01-01 00:00:00.000043799,309768.8089527414,68.2589192182065,0.9666882534832928,24.422330651909533,11155.076666666668,527611.8516485391,64.130142866726,0.5167235742771057,38.20410418625253,81697.29400000001,192.68294720036175,25.483351012680036,34.25481114936633,0.0,1112552.4090191957,18303.81564140342,282637.881876,0.0,0.0,0.0,164038.2747,0.0,118599.607176,0.0,0.0,0.0,0.0,0.0,402781.2226232118,4766653.439235445,0.6434899377285612,2.380188064771701,1.3866453606071276,0.004619453795924213
2021-W49,49,1970-01-01 00:00:00.000043806,313600.3603314256,73.1974834782585,0.96587834779285,25.32857073554993,11689.115333333333,511786.52678631543,62.08088072832081,0.5282133365728886,30.627333875943602,63184.34933333334,0.0,30.791482608938896,55.13292275514436,0.0,1682579.0505318556,19004.76532398231,208992.09036300002,0.0,0.0,0.0,130547.50863600001,0.0,78444.58172700001,0.0,0.0,0.0,0.0,0.0,0.0,3589834.431433776,1.144969341060912,0.8930022622794637,0.7734811559835977,0.006330557066326502
2021-W50,50,1970-01-01 00:00:00.000043813,309203.87125648995,72.955582922905,0.9536024137393214,30.988312631722668,15380.858666666667,510936.14180247614,66.3259037227069,0.5199565378259828,30.255963984177868,61369.41533333334,0.0,13.214590394561561,10.963617228428285,0.0,3116378.0490708747,17550.86348500646,309073.104597,0.0,0.0,0.0,139770.81745200002,0.0,169302.287145,0.0,0.0,0.0,0.0,0.0,0.0,954705.7199511471,1.5815823478020548,0.5082918274838097,0.7458654274630999,0.0055767096292721014
2021-W51,51,1970-01-01 00:00:00.000043820,296460.81528593285,73.013302293732,1.0098613883584286,29.923737484133735,15400.129333333332,521721.625007053,67.0505183217034,0.50205747993631,38.408523610277264,81231.09933333333,0.0,23.31660652057361,32.91745666764935,0.0,964329.4832085675,12614.256744019976,333678.845802,0.0,0.0,0.0,252584.91834600002,0.0,81093.927456,0.0,0.0,0.0,0.0,0.0,0.0,4958434.6102360925,1.1029169159015895,1.1838812113487343,1.6854086161496509,0.00347504868871761
2021-W52,52,1970-01-01 00:00:00.000043827,318552.6455705556,74.2041249228628,1.0127146768329143,32.47360795418593,21230.24,550550.622558907,65.6400418509716,0.46323883430159857,44.90402410604954,114833.24133333332,0.0,55.68864935964876,34.01656655816461,0.0,0.0,11188.227572075586,266580.190215,0.0,0.0,0.0,195189.18886800003,0.0,71391.001347,0.0,0.0,0.0,0.0,0.0,93425.63499465745,2213137.635634153,1.3845884000800641,0.9537171869983704,0.9398023564390556,0.0033514759134839283
2022-W01,53,1970-01-01 00:00:00.000043834,265681.23945811455,72.8476294765629,1.0414612627170143,29.188315441574733,10089.064666666667,489693.6511738742,60.362718484036904,0.5057968305461857,34.97837376793607,67542.872,0.0,27.312481971531835,0.0,0.0,0.0,5970.104942169598,354322.01903100003,0.0,0.0,0.0,295687.6599,0.0,58634.359131000005,0.0,0.0,0.0,0.0,0.0,7808904.361424649,59905.486552262715,0.6926882974983353,0.5585910949399344,1.69197357519033,0.0036859091827937123
2022-W02,54,1970-01-01 00:00:00.000043841,289971.74862389616,73.3472404739779,0.9773382281083572,34.362533699441336,14399.836000000001,517320.34272779187,59.697145974960506,0.5211604181367322,31.351305892087932,64313.314666666665,0.0,20.47406280590808,0.0,0.0,0.0,9310.139135634417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676316.8345764864,1.2457547102977706,0.6428316670273054,1.274946356962582,0.004761890483087263
2022-W03,55,1970-01-01 00:00:00.000043848,301984.8655148135,74.9661506686468,0.9406565576559214,37.46676335752013,18093.066666666666,510051.50622265594,59.169176024899,0.5303693380958578,33.22502100789453,64951.222,2.5926263629901656,69.02758523166516,68.64206746481707,0.0,0.0,8008.156278374914,0.0,692236.284666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692236.284666,0.0,0.0,0.0,50454.26855893665,0.38854910445116003,1.2287994363740753,1.1084114911121725,0.005550119189456885
2022-W04,56,1970-01-01 00:00:00.000043855,320023.49757478747,76.9527860751702,0.8582153645876358,45.63267881553933,21258.522666666668,502525.15260432486,58.7843716409145,0.5285311748423407,28.5040399507552,53344.07866666667,228.38826929511973,53.1800084704612,224.65370972100936,0.0,0.0,8073.39206486128,0.0,927078.634776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927078.634776,0.0,0.0,0.0,11889.219215369867,0.8994729254762179,0.6146685212733448,1.3609736512213293,0.005210371276913382
2022-W05,57,1970-01-01 00:00:00.000043862,339686.0153141427,77.0024821082003,0.8637837616426715,45.8912558503852,23066.559999999998,546964.4961055516,65.4827169101402,0.5166873400305535,28.4706077744172,65627.558,10.388042255420164,54.82336474956393,336.6655190588103,0.0,0.0,7551.964509347384,15086.679297,146212.607697,2917.823714376648,0.0,0.0,0.0,15086.679297,0.0,0.0,146212.607697,0.0,0.0,1612694.5845942115,60896.02166890848,0.7310156868565951,0.5946679497716086,1.325772841381696,0.004905173999543802
2022-W06,58,1970-01-01 00:00:00.000043869,314832.4411492564,75.1334037251573,0.9083992049265357,39.99869840012153,16983.428666666667,530315.697485941,66.5109654358881,0.5100584605791328,36.6756308057096,81754.98266666666,75.62655582700675,48.36737697954379,124.3617210152065,0.0,0.0,6509.913184155962,6569.38284,0.0,4590.099985896859,0.0,0.0,0.0,6569.38284,0.0,0.0,0.0,0.0,0.0,37803.15048273653,105895.81464786746,0.5923297580402478,0.3699029644395493,0.8546928210569524,0.004882648340337271
2022-W07,59,1970-01-01 00:00:00.000043876,307607.96966268605,75.2579302592657,0.9209034026174929,35.28341396725474,14266.080666666667,514246.86581446463,65.7745861762945,0.5168459299226978,35.82177435724947,73764.58,418.31532333668247,43.2901235006406,0.0,0.0,0.0,5658.4617511225315,0.0,0.0,3247.0483647721935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258210.61906896523,148502.42321046596,0.9051924636405047,0.5963806004239876,1.0274423965144002,0.006254568251058384
2022-W08,60,1970-01-01 00:00:00.000043883,297573.9538333286,76.6834587465768,0.9831582485395786,38.651156861953204,20415.327999999998,519069.11678503855,63.80702162983199,0.51330063370731,37.27156199314994,74515.19466666666,688.0248955442851,60.05136149427531,77.10347008183315,0.0,0.0,6120.543448456306,0.0,154159.33624200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154159.33624200002,0.0,0.0,0.0,153099.49312999274,1.225678994289383,1.116017747422211,0.8638279844490939,0.005454489066878808
2022-W09,61,1970-01-01 00:00:00.000043891,306627.2248186713,77.2346864807515,0.9996540874584071,38.8106704118472,23991.221333333335,548431.2855773274,62.9283063535775,0.5025398734917564,36.695400877720196,83418.27266666667,559.1390573245496,50.820543555888,78.80490944701084,0.0,1467082.0901341548,12599.38033918948,0.0,410302.452186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410302.452186,0.0,0.0,9568.531941582827,4962465.960711494,0.513688826398309,0.57701410573283,1.284551903355923,0.005142116835859023
2022-W10,62,1970-01-01 00:00:00.000043898,302545.6725851487,76.2737312854141,1.0130442072275856,31.912217227597136,18247.714666666667,549050.5914758675,60.563591962092005,0.5069571978354521,35.356133828917066,83673.39666666667,328.47265758801166,63.099275822837974,0.0,0.0,1969432.991895836,15899.151153987787,0.0,486022.441269,3767.2755480435367,0.0,0.0,0.0,0.0,0.0,0.0,486022.441269,0.0,0.0,12158.191998529232,6766284.17797126,0.7361451485593389,0.2850274733710766,1.380361296895421,0.008216276537044005
2022-W11,63,1970-01-01 00:00:00.000043905,290018.53216648067,75.7972426687105,1.03290101737515,29.628231797490468,14603.418,547199.9789839177,57.7614541880104,0.5030369847612478,32.393306040593664,76448.724,633.3181181192964,58.03307119773909,47.2769348609639,0.0,1849605.6700656319,12436.788211790608,0.0,441762.20586600003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441762.20586600003,0.0,0.0,5141717.070573534,515337.3789232382,0.49121775207463864,1.080940699915759,1.3645327574468995,0.005490502407196013
2022-W12,64,1970-01-01 00:00:00.000043912,297657.61371078686,76.0895130379943,1.017425309034557,35.16540181663414,18470.510666666665,551068.7035207135,59.6142962535246,0.5079700089841993,33.6052211193534,77301.232,790.1603312655512,26.64472457765053,86.08181829108231,0.0,1515842.653684242,12858.183791458427,16357.370679000001,409250.958339,0.0,0.0,0.0,0.0,16357.370679000001,0.0,0.0,409250.958339,0.0,0.0,7191037.847478661,42851872.3636854,0.4808453320728703,0.8062438753685279,1.503370853412154,0.004958862976750318
2022-W13,65,1970-01-01 00:00:00.000043919,319516.61146175175,77.312580914125,0.9933350423757643,43.32548534649027,26914.179333333333,553931.2294861159,62.9523027708221,0.5085621696451207,31.901215514273066,74040.122,509.30526859632914,27.569200682448884,0.0,0.0,984741.2526291441,10032.19805104124,140779.78043400001,288620.33877900004,5750.728593859252,0.0,0.0,0.0,70475.606268,70304.17416600001,0.0,288620.33877900004,0.0,0.0,2516350.5211802227,8065703.200941948,1.2456450372215264,1.0703486598792171,1.2272423457913337,0.0038557831390654625
2022-W14,66,1970-01-01 00:00:00.000043926,333819.77323100565,76.6703898412809,0.9539528815033214,31.41556480853173,22004.888000000003,568698.3506218389,61.823729158393206,0.5094742390806671,37.067671943356935,96816.35266666667,353.32547388635646,80.22616635899801,118.06725973721396,0.0,0.0,10250.750411359964,79995.322497,0.0,3997.7096026138074,0.0,0.0,0.0,79995.322497,0.0,0.0,0.0,0.0,0.0,14940.8274170092,33519619.902321544,0.740120650766156,0.40641322517381,0.8450872490287737,0.006679620101098265
2022-W15,67,1970-01-01 00:00:00.000043933,344177.7433245793,75.0863804286802,0.9457567165884001,24.057780968457465,18407.164,569677.732582203,60.5882608930049,0.5233698391808107,33.767472817626,85884.88,352.6847520374862,67.33608565194403,291.97417489742827,0.0,0.0,3813.8739623290116,15317.654610000001,296891.61054,335.5605178945286,0.0,0.0,0.0,15317.654610000001,0.0,0.0,296891.61054,0.0,0.0,113650.28479366252,51838619.098044865,0.993276490838789,0.7751728912017039,1.5340972746928414,0.004963266489076405
2022-W16,68,1970-01-01 00:00:00.000043940,348439.44667617645,74.6539021386363,0.9685071554376785,21.522782115903468,16454.582,591525.8438986415,59.49413236800321,0.525998374840205,35.148472649986864,96659.136,816.0166673649137,70.4705129320063,0.0,0.0,0.0,2978.2194461665795,39316.185927000006,431223.057519,0.0,0.0,0.0,0.0,39316.185927000006,0.0,0.0,431223.057519,0.0,0.0,165529.94716899292,16568839.475431517,1.4421503883446234,0.7085366697271684,1.631471013593723,0.004064103145261142
2022-W17,69,1970-01-01 00:00:00.000043947,335839.2829911355,74.3218580306792,0.9637269882356643,23.420168912605334,15807.182,567701.6302601218,59.5439934468713,0.5287078955471222,34.997047934090595,85814.08666666667,1419.1822672234161,186.87917969543423,126.60894592398374,0.0,0.0,2753.7882275509187,32241.012954,322113.067806,4672.223056896931,0.0,0.0,0.0,32241.012954,0.0,0.0,322113.067806,0.0,0.0,0.0,50642906.45460493,1.4549195128442673,0.5142220569587694,1.6763637914758989,0.0036279860591198042
2022-W18,70,1970-01-01 00:00:00.000043954,352730.3403451424,74.3831344784425,1.0050430264127856,31.289012207603534,24083.734,609498.0262478295,59.610457855775095,0.5368368121088586,29.683193767694334,83982.73933333333,587.5521520135363,133.01718231109453,262.318975904898,0.0,0.0,3125.5423422542067,169226.385909,533282.084136,4027.4823826568177,0.0,0.0,0.0,29329.284504000003,139897.10140500002,0.0,533282.084136,0.0,0.0,0.0,39638717.38286909,0.5578443188153882,0.8152240231744734,1.4949014005021746,0.0034390570995712984
2022-W19,71,1970-01-01 00:00:00.000043961,358247.5247646521,75.6628746769271,1.0018432368324857,37.92190131356347,31374.088,589981.8836201667,58.3795615466452,0.5515134661318829,25.937819727989133,65332.99733333333,786.4115223729139,100.83845554711573,120.18488534978152,0.0,0.0,3220.231794950748,170185.620495,90885.1869,1038.440010342882,0.0,0.0,0.0,30288.51909,139897.10140500002,0.0,90885.1869,0.0,0.0,7455.17743183905,29187747.50076782,1.009612775168069,0.8002885649285314,0.8221877372449599,0.0034791739571329887
2022-W20,72,1970-01-01 00:00:00.000043968,347619.1766862122,75.8568219269866,1.0028736590945786,37.591783692192536,29945.654,606233.3560601891,58.0187557260578,0.5362589188077536,28.18974121488627,73128.31133333333,1471.926375678505,167.27676386080267,51.80921446420983,0.0,0.0,2852.7963717348366,167538.89205000002,161899.953672,0.0,49169.75220037726,0.0,0.0,27641.790645,139897.10140500002,0.0,161899.953672,0.0,0.0,12815.627200548379,4383196.200495124,1.033292939377005,1.0128008590471222,1.3634444181552547,0.006116426386604932
2022-W21,73,1970-01-01 00:00:00.000043975,332541.2786407125,74.56590586151,1.0315983527249644,24.29140710518,16767.229333333333,597805.1312927984,57.563948313883,0.5307551530041785,29.784024361900602,81457.43466666667,1650.8965044755707,225.3800872940129,0.0,0.0,658494.265707986,2538.6854730872615,159074.595594,1020188.513076,0.0,49167.36423993869,0.0,0.0,19177.494189,139897.10140500002,0.0,705106.1244150001,0.0,315082.388661,280782.266570402,45701957.002471074,1.0216850459742775,1.1377321470169672,0.930701299348497,0.0059872981424426265
2022-W22,74,1970-01-01 00:00:00.000043982,381307.154404425,73.3411322331255,0.9699867560964357,30.534705333702533,21779.019333333334,629813.237396611,63.718954327358006,0.5386243227699186,27.838525445628402,80381.65466666667,3761.79923205546,103.34477949142502,0.0,0.0,659423.9840588619,2828.2638480479795,149276.79294,417621.686892,0.0,0.0,0.0,0.0,9379.691535,139897.10140500002,0.0,102539.29823100001,0.0,315082.388661,0.0,6370599.703254521,1.0374436180917082,1.2489247412491695,0.5563386106858181,0.009081024485587477
2022-W23,75,1970-01-01 00:00:00.000043989,381612.57840904564,74.7577769762948,0.9330909096234857,39.211289298725,29624.368000000002,616999.8865478016,63.5579672638834,0.5254793609271179,36.65147905264173,109542.95733333332,745.6145326936033,163.75957925612934,0.0,0.0,658574.0151941285,2363.0713981110166,8164.617438,1034128.16766,0.0,0.0,0.0,0.0,8164.617438,0.0,0.0,719045.7789990001,0.0,315082.388661,690238.0747384415,13177697.977897182,0.91932147745776,0.6106295358024483,1.7992158785667667,0.005895625541196043
